dataset,seed,forget_ratio,method,clients,affected_clients,forget_train,forget_test,retained_acc,retained_bacc,retained_auc,forget_scope_bacc,forget_scope_auc,mia_auc,mia_gap,l2_to_oracle,runtime,runtime_to_oracle,type_leak_auc,attribute_leak_auc,full_retained_bacc
Bank Marketing,13,0.25,FedEraser-proxy,24,23,549,931,0.8803134647352173,0.5006159745039395,0.8093184606313627,0.5,0.8129553123718818,0.4967238549144133,0.0032761450855867,5.502392014683126e-07,0.0434715829906053,0.9877435868222344,1.0,0.9006666666666666,0.5006159745039395
Bank Marketing,13,0.25,FedRecovery-proxy,24,23,549,931,0.8803134647352173,0.5006159745039395,0.8178313132705997,0.5,0.8252546595603771,0.4960762562143062,0.0039237437856937,0.0905222315505874,0.022290500026429,0.5064756545195124,1.0,0.8918777777777778,0.5006159745039395
Bank Marketing,13,0.25,Starfish-proxy,24,23,549,931,0.8803134647352173,0.5006159745039395,0.8166889356987642,0.5,0.8236778201772368,0.4963129916907804,0.0036870083092195,0.0803019954164218,0.0222009590070229,0.5044411399794028,0.9779222222222222,0.6547333333333333,0.5006159745039395
Bank Marketing,13,0.25,MA-ABE-FU,24,23,549,931,0.8803134647352173,0.5006159745039395,0.8180210359141635,0.5,0.8258380901321392,0.4961271249943751,0.0038728750056248,0.0944965483554684,0.0272449579788371,0.6190488283496239,0.6114,0.5070888888888889,0.5006159745039395
Bank Marketing,13,0.25,Oracle-Retrain,24,23,549,931,0.8803134647352173,0.5006159745039395,0.8093182823206075,0.5,0.8129553123718818,0.4967238549144133,0.0032761450855867,0.0,0.04401099999086,1.0,1.0,0.8876333333333334,0.5006159745039395
Bank Marketing,13,0.5,FedAvg-Full,24,23,1097,931,0.8803134647352173,0.5006159745039395,0.8093998297726657,0.5,0.8139802579709231,0.4884378546313694,0.0115621453686305,0.0087036340728439,0.0453691250004339,1.0318835658021737,1.0,0.9261111111111111,0.5006159745039395
Bank Marketing,13,0.5,SISA-Retrain,24,23,1097,931,0.8801551492123803,0.499955035971223,0.795181983956787,0.5,0.7921725693020909,0.4883967308556585,0.0116032691443415,0.1514777428196947,0.0218073750147596,0.4959908724446439,1.0,0.9093111111111111,0.5006159745039395
Bank Marketing,13,0.5,FedEraser-proxy,24,23,1097,931,0.8803134647352173,0.5006159745039395,0.8085171320973624,0.5,0.8101012330883977,0.4888530089385464,0.0111469910614536,1.1004066985611869e-06,0.0416589580127038,0.9474988583390276,1.0,0.889,0.5006159745039395
Bank Marketing,13,0.5,FedRecovery-proxy,24,23,1097,931,0.8803134647352173,0.5006159745039395,0.8176736271260586,0.5,0.8243243243243243,0.4887286584738967,0.0112713415261033,0.0906808431963276,0.0216502919793128,0.4924181475410399,1.0,0.9010222222222222,0.5006159745039395
Bank Marketing,13,0.5,Starfish-proxy,24,23,1097,931,0.8803134647352173,0.5006159745039395,0.8165472975221938,0.5,0.8230313160301491,0.4887120131361089,0.011287986863891,0.0805153246037577,0.0216452500026207,0.4923034719133363,0.9842444444444445,0.6340888888888889,0.5006159745039395
Bank Marketing,13,0.5,MA-ABE-FU,24,23,1097,931,0.8803134647352173,0.5006159745039395,0.8178791599899194,0.5,0.8247816077454351,0.4887619491494722,0.0112380508505278,0.094627335208028,0.0254237499902956,0.5782423574578145,0.6146444444444444,0.5156,0.5006159745039395
Bank Marketing,13,0.5,Oracle-Retrain,24,23,1097,931,0.8803134647352173,0.5006159745039395,0.8085172509711992,0.5,0.8101012330883977,0.4888520298010295,0.0111479701989705,0.0,0.0439672909851651,1.0,1.0,0.8645111111111111,0.5006159745039395
